,date,time,loc,population,wd
221,20201010,05,11380551,24431.801,605
222,20201010,06,11380551,24546.6484,606
223,20201010,07,11380551,24770.005,607
224,20201010,08,11380551,25203.1446,608
225,20201010,09,11380551,25055.2163,609
226,20201010,10,11380551,25024.6187,610
227,20201010,11,11380551,24728.5655,611
228,20201010,12,11380551,25036.6794,612
229,20201010,13,11380551,24857.4052,613
230,20201010,14,11380551,24482.6815,614
231,20201010,15,11380551,24415.5406,615
232,20201010,16,11380551,24835.3576,616
233,20201010,17,11380551,25817.1765,617
234,20201010,18,11380551,26861.7402,618
235,20201010,19,11380551,27585.4044,619
236,20201010,20,11380551,27772.1819,620
237,20201010,21,11380551,27679.7087,621
238,20201010,22,11380551,26957.9523,622
239,20201010,23,11380551,23577.9383,623
